Name,Group,config,seed,test/mask_mAP50_95,test/mask_dice,test/mask_precision,test/mask_recall,class/test_mask_dice/bicycle,class/test_mask_dice/bus,class/test_mask_dice/car,class/test_mask_dice/motorcycle,class/test_mask_dice/person,class/test_mask_dice/rider,class/test_mask_dice/train,class/test_mask_dice/truck
yolo-seg-img_size-s1,4.5 img size,higher res,1,0.2352972457885065,0.5026592498396546,0.6467763793035879,0.4110643544683753,0.4146658335528801,0.4408046907322491,0.6677863543917578,0.5457778499665868,0.5297591968103227,0.5246594989252981,0.4599220674100702,0.4018270456604213
yolo-seg-img_size-s42,4.5 img size,higher res,42,0.2319741478285391,0.5004691846447981,0.685157901418525,0.3942079087328048,0.4235888126621774,0.4445557827437732,0.6707412628839937,0.5260984347783189,0.5267283707099109,0.4913724813546322,0.4338536624448075,0.4303773375902513
yolo-seg-img_size-s0,4.5 img size,higher res,0,0.2342011816320297,0.5031346576604714,0.6602559501977101,0.4064190120579806,0.4153732516119834,0.434361224579315,0.6642719605407215,0.5825947767363874,0.5311312981341992,0.5094499971981211,0.4286020312358655,0.4050101372033539
yolo-seg-reg-aug-s0,4.4 augmentation,augmentation,0,0.1740584108926289,0.4356627205853661,0.6406218710556432,0.3300630691863674,0.3795440067401766,0.3522481681433692,0.6113223674545644,0.4553437698944546,0.4551672126428129,0.4363423322690635,0.4129770879960868,0.3228923102427699
yolo-seg-reg-wd-001-s0,4.4 weight finished,weight decay,0,0.1555647264748563,0.3932938232185785,0.5485309700922214,0.3065410853101057,0.3434639437984428,0.359267093140256,0.5637379673990521,0.4042019204680285,0.4248496542201988,0.3875620442834712,0.3055336399511181,0.274536129987985
yolo-seg-reg-wd-001-s1,4.4 weight finished,weight decay,1,0.1629851272770154,0.3926434147829946,0.5721132319010227,0.2988844590219848,0.3330791695567413,0.3656729466095121,0.5790995447894023,0.4534492616698789,0.4339303455346196,0.4096618097366681,0.2486073057234884,0.229358245091726
yolo-seg-reg-aug-s1,4.4 augmentation,augmentation,1,0.1840972339795185,0.4338755279852955,0.5464746362166939,0.3597502909445123,0.3525272481923086,0.3983649667890624,0.5825947467155572,0.5089999351402772,0.4127616135282355,0.4345921297925199,0.4157585630700969,0.3213952907281169
yolo-seg-reg-wd-001,4.4 weight decay search,weight decay,42,0.1575459107609393,0.3905722131363857,0.5762452845473056,0.295393061914087,0.3284772684282107,0.3065382687942752,0.5846188508703359,0.5003348265578381,0.4369418809131726,0.407769233907312,0.2477924868918445,0.2305632169123951
yolo-seg-baseline-no-aug-s1,4.2 baseline,baseline,1,0.1523291435922052,0.3916652877807434,0.5622071494801095,0.3005081161953075,0.3436066942341956,0.2983644268893711,0.583292564525506,0.4737704899230314,0.4398442746543017,0.3918916938567645,0.2930989084292332,0.2301055858385389
yolo-seg-baseline-no-aug-s0,4.2 baseline,baseline,0,0.1545097549755285,0.3870699169483406,0.6197119816716861,0.281422803460688,0.3006770188948129,0.3279783276501306,0.5776658910544179,0.4507422564830851,0.4311570231645503,0.3842682288433611,0.2745747463618527,0.2571570984515411
yolo-seg-reg-aug,4.4 augmentation,augmentation,42,0.1817300297511192,0.4307761553807936,0.5574955691083766,0.3509946492357231,0.3715451554552776,0.3763392078964678,0.612694245516797,0.4768355948891496,0.4518287342333703,0.436341551622732,0.3926380105328329,0.2976767268047953
yolo-seg-baseline-no-aug-s42,4.2 baseline,baseline,42,0.1570681017929956,0.3977033597584452,0.5484849603549491,0.3119472940524106,0.3139421575608407,0.298533711194124,0.5725256882325754,0.450666220547757,0.4288508651380204,0.3966330298394978,0.4147595168940347,0.271083522540828
yolo-seg-sweep-imb,4.5 random seed,random search,0,0.1740584108926289,0.4356627205853661,0.6406218710556432,0.3300630691863674,0.3795440067401766,0.3522481681433692,0.6113223674545644,0.4553437698944546,0.4551672126428129,0.4363423322690635,0.4129770879960868,0.3228923102427699
yolo-seg-sweep-imb-s1,4.5 random seed,random search,1,0.1697022724729701,0.4279902499472329,0.5798421080040397,0.3391674391830944,0.3618050673917044,0.3828057181072419,0.5947466244999081,0.4546952971729356,0.4570888252669855,0.4198579972350608,0.3829757861360026,0.3257181462066805
yolo-seg-sweep-imb-s0,4.5 random seed,random search,0,0.1673141518751024,0.4073434658436369,0.559905892358197,0.3201181030762366,0.3743394373198123,0.3225340005292935,0.5975066824198109,0.443888038766089,0.4381257839591411,0.3896862102632594,0.4109785011785118,0.2402868343368872
