image_name,image_path,split,city,annotation_json,instance_path,yolo_annotation_path,instance_based_yolo
aachen_000000_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000000_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000000_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000000_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000000_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000000_000019_leftImg8bit.txt
aachen_000001_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000001_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000001_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000001_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000001_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000001_000019_leftImg8bit.txt
aachen_000002_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000002_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000002_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000002_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000002_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000002_000019_leftImg8bit.txt
aachen_000003_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000003_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000003_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000003_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000003_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000003_000019_leftImg8bit.txt
aachen_000004_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000004_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000004_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000004_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000004_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000004_000019_leftImg8bit.txt
aachen_000005_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000005_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000005_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000005_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000005_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000005_000019_leftImg8bit.txt
aachen_000006_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000006_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000006_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000006_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000006_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000006_000019_leftImg8bit.txt
aachen_000007_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000007_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000007_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000007_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000007_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000007_000019_leftImg8bit.txt
aachen_000008_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000008_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000008_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000008_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000008_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000008_000019_leftImg8bit.txt
aachen_000009_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000009_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000009_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000009_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000009_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000009_000019_leftImg8bit.txt
